year,month,avg_pm25,avg_speed,avg_waste,total_complaints,date
2010,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-01-01
2010,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-02-01
2010,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-03-01
2010,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-04-01
2010,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-05-01
2010,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-06-01
2010,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-07-01
2010,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-08-01
2010,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-09-01
2010,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-10-01
2010,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-11-01
2010,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2010-12-01
2011,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-01-01
2011,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-02-01
2011,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-03-01
2011,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-04-01
2011,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-05-01
2011,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-06-01
2011,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-07-01
2011,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-08-01
2011,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-09-01
2011,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-10-01
2011,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-11-01
2011,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2011-12-01
2012,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-01-01
2012,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-02-01
2012,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-03-01
2012,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-04-01
2012,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-05-01
2012,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-06-01
2012,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-07-01
2012,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-08-01
2012,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-09-01
2012,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-10-01
2012,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-11-01
2012,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2012-12-01
2013,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-01-01
2013,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-02-01
2013,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-03-01
2013,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-04-01
2013,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-05-01
2013,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-06-01
2013,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-07-01
2013,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-08-01
2013,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-09-01
2013,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-10-01
2013,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-11-01
2013,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2013-12-01
2014,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-01-01
2014,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-02-01
2014,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-03-01
2014,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-04-01
2014,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-05-01
2014,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-06-01
2014,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-07-01
2014,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-08-01
2014,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-09-01
2014,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-10-01
2014,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-11-01
2014,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2014-12-01
2015,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-01-01
2015,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-02-01
2015,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-03-01
2015,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-04-01
2015,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-05-01
2015,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-06-01
2015,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-07-01
2015,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-08-01
2015,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-09-01
2015,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-10-01
2015,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-11-01
2015,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2015-12-01
2016,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-01-01
2016,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-02-01
2016,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-03-01
2016,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-04-01
2016,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-05-01
2016,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-06-01
2016,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-07-01
2016,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-08-01
2016,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-09-01
2016,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-10-01
2016,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-11-01
2016,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2016-12-01
2017,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-01-01
2017,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-02-01
2017,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-03-01
2017,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-04-01
2017,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-05-01
2017,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-06-01
2017,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-07-01
2017,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-08-01
2017,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-09-01
2017,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-10-01
2017,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-11-01
2017,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2017-12-01
2018,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-01-01
2018,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-02-01
2018,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-03-01
2018,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-04-01
2018,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-05-01
2018,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-06-01
2018,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-07-01
2018,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-08-01
2018,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-09-01
2018,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-10-01
2018,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-11-01
2018,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2018-12-01
2019,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-01-01
2019,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-02-01
2019,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-03-01
2019,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-04-01
2019,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-05-01
2019,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-06-01
2019,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-07-01
2019,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-08-01
2019,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-09-01
2019,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-10-01
2019,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-11-01
2019,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2019-12-01
2020,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-01-01
2020,2,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-02-01
2020,3,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-03-01
2020,4,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-04-01
2020,5,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-05-01
2020,6,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-06-01
2020,7,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-07-01
2020,8,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-08-01
2020,9,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-09-01
2020,10,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-10-01
2020,11,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-11-01
2020,12,65.61290322580645,19.4176,1033.9880952380952,13936.0,2020-12-01
2021,1,65.61290322580645,19.4176,1033.9880952380952,13936.0,2021-01-01
2021,2,68.67857142857143,19.4176,1033.9880952380952,13936.0,2021-02-01
2021,3,87.93548387096774,19.4176,1033.9880952380952,13936.0,2021-03-01
2021,4,91.86666666666666,19.4176,1033.9880952380952,13936.0,2021-04-01
2021,5,90.74193548387096,19.4176,1033.9880952380952,13936.0,2021-05-01
2021,6,106.4,19.4176,1033.9880952380952,13936.0,2021-06-01
2021,7,131.9,19.4176,1033.9880952380952,13936.0,2021-07-01
2021,8,103.2258064516129,19.4176,1033.9880952380952,13936.0,2021-08-01
2021,9,98.86666666666666,19.4176,1033.9880952380952,13936.0,2021-09-01
2021,10,101.58064516129032,19.4176,1033.9880952380952,13936.0,2021-10-01
2021,11,75.58620689655173,19.4176,1033.9880952380952,13936.0,2021-11-01
2021,12,83.54838709677419,19.4176,1033.9880952380952,13936.0,2021-12-01
2022,1,83.51612903225806,19.4176,1033.9880952380952,13936.0,2022-01-01
2022,2,84.32142857142857,19.4176,1033.9880952380952,13936.0,2022-02-01
2022,3,85.74193548387096,19.4176,1033.9880952380952,13936.0,2022-03-01
2022,4,98.43333333333334,19.4176,1033.9880952380952,13936.0,2022-04-01
2022,5,100.38709677419357,19.4176,1033.9880952380952,13936.0,2022-05-01
2022,6,108.83333333333331,19.4176,1033.9880952380952,13936.0,2022-06-01
2022,7,110.38709677419357,19.4176,1033.9880952380952,13936.0,2022-07-01
2022,8,101.4516129032258,19.4176,1033.9880952380952,13936.0,2022-08-01
2022,9,96.3,19.4176,1033.9880952380952,13936.0,2022-09-01
2022,10,81.25806451612904,19.4176,1033.9880952380952,13936.0,2022-10-01
2022,11,83.26666666666667,19.4176,1033.9880952380952,13936.0,2022-11-01
2022,12,81.03225806451613,19.4176,1033.9880952380952,13936.0,2022-12-01
2023,1,70.64516129032258,19.4176,1033.9880952380952,13936.0,2023-01-01
2023,2,54.35714285714285,19.4176,1033.9880952380952,12864.0,2023-02-01
2023,3,78.7741935483871,19.4176,1033.9880952380952,14860.0,2023-03-01
2023,4,77.26666666666667,19.4176,1033.9880952380952,10325.0,2023-04-01
2023,5,106.25806451612904,19.4176,1033.9880952380952,12986.0,2023-05-01
2023,6,105.26666666666668,19.4176,1033.9880952380952,12647.0,2023-06-01
2023,7,112.2258064516129,19.4176,1033.9880952380952,14727.0,2023-07-01
2023,8,113.03225806451611,19.4176,1033.9880952380952,15215.0,2023-08-01
2023,9,124.89655172413794,19.4176,1033.9880952380952,13596.0,2023-09-01
2023,10,121.0,19.4176,1033.9880952380952,15167.0,2023-10-01
2023,11,94.53333333333332,19.4176,1033.9880952380952,16520.0,2023-11-01
2023,12,79.83870967741936,19.4176,1033.9880952380952,14852.0,2023-12-01
2024,1,67.16666666666667,19.4176,1033.9880952380952,16780.0,2024-01-01
2024,2,73.72413793103448,22.5496,1641.2754761904764,14467.0,2024-02-01
2024,3,67.80645161290323,23.514,830.7495238095237,15308.0,2024-03-01
2024,4,80.56666666666666,25.6812,866.2183333333332,13159.0,2024-04-01
2024,5,98.06451612903226,26.148000000000003,1007.8533333333336,16918.0,2024-05-01
2024,6,96.33333333333331,26.8788,910.725238095238,13731.0,2024-06-01
2024,7,91.25806451612904,26.9164,924.6342857142856,15396.0,2024-07-01
2024,8,101.6774193548387,27.1928,894.4678571428572,12713.0,2024-08-01
2024,9,88.53333333333333,27.2232,923.5611904761904,12234.0,2024-09-01
2024,10,91.4516129032258,27.3376,911.7335714285714,14693.0,2024-10-01
2024,11,80.56666666666666,27.4456,1037.690476190476,14111.0,2024-11-01
2024,12,55.935483870967744,27.608400000000003,919.3890476190476,13753.0,2024-12-01
2025,1,59.32258064516129,28.2328,940.9914285714284,13629.0,2025-01-01
2025,2,70.46428571428571,26.0396,755.7595238095239,12929.0,2025-02-01
2025,3,70.46428571428571,26.3116,841.9509523809525,12988.0,2025-03-01
2025,4,70.46428571428571,15.6468,805.1835714285714,14612.0,2025-04-01
2025,5,70.46428571428571,25.67,816.3307142857143,16236.0,2025-05-01
2025,6,70.46428571428571,27.142,850.3616666666667,15329.0,2025-06-01
2025,7,70.46428571428571,31.2676,838.9769047619047,16927.0,2025-07-01
2025,8,70.46428571428571,27.9592,833.5940476190475,14045.0,2025-08-01
2025,9,70.46428571428571,27.9592,833.5940476190475,11652.0,2025-09-01
